seq_id,ddG_kcal_mol,status
SD_C_D0002,0.0707,pass
SD_C_D0001,2.1754,pass
SD_C_D0000,1.7504,pass
SD_C_D0003,2.5812,pass
SD_C_D0006,0.8711,pass
SD_C_D0005,-0.1294,pass
SD_C_D0004,2.0097,pass
SD_C_D0010,-0.6818,pass
SD_C_D0007,2.8939,pass
SD_C_D0009,0.8878,pass
SD_C_D0008,1.131,pass
SD_C_D0014,0.2384,pass
SD_C_D0011,1.4738,pass
SD_C_D0013,2.8791,pass
SD_C_D0012,0.3677,pass
SD_C_D0015,2.3465,pass
SD_C_D0017,2.298,pass
SD_C_D0016,3.1747,fail_ddG
SD_C_D0018,0.6923,pass
SD_C_D0020,1.1161,pass
SD_G_0000,0.9963,pass
SD_C_D0019,1.5185,pass
SD_C_D0024,0.777,pass
SD_C_D0021,-0.0155,pass
SD_C_D0023,0.1353,pass
SD_C_D0028,3.1336,fail_ddG
SD_C_D0022,3.2766,fail_ddG
SD_C_D0032,0.0478,pass
SD_C_D0027,1.2175,pass
SD_C_D0025,0.1407,pass
SD_C_D0026,2.1566,pass
SD_C_D0031,-0.4502,pass
SD_C_D0036,2.7713,pass
SD_C_D0029,2.5561,pass
SD_C_D0030,1.0418,pass
SD_C_D0034,0.5007,pass
SD_C_D0033,2.3584,pass
SD_C_D0040,1.8495,pass
SD_C_D0035,2.8405,pass
SD_C_D0038,-0.6043,pass
SD_C_D0037,,error
SD_C_D0041,2.2302,pass
SD_C_D0042,0.0492,pass
SD_C_D0039,1.9165,pass
SD_C_D0045,0.7873,pass
SD_C_D0046,0.0647,pass
SD_C_D0043,3.1559,fail_ddG
SD_C_D0049,0.4632,pass
SD_C_D0047,2.855,pass
SD_C_D0044,1.6064,pass
SD_C_D0048,1.0906,pass
SD_C_D0051,1.6557,pass
SD_C_D0053,0.6633,pass
SD_C_D0055,1.0241,pass
SD_C_D0050,3.8072,fail_ddG
SD_C_D0052,0.8371,pass
SD_C_D0057,0.0553,pass
SD_C_D0059,0.3657,pass
SD_C_D0054,4.0571,fail_ddG
SD_C_D0056,2.3919,pass
SD_C_D0061,1.0925,pass
SD_C_D0063,-0.7594,pass
SD_C_D0058,0.11,pass
SD_C_D0065,1.3031,pass
SD_C_D0060,0.0568,pass
SD_C_D0067,0.3272,pass
SD_C_D0062,0.1756,pass
SD_C_D0064,0.0558,pass
SD_C_D0071,-0.2053,pass
SD_C_D0066,,error
SD_C_D0070,1.059,pass
SD_C_D0069,0.4173,pass
SD_C_D0076,1.8871,pass
SD_C_D0068,1.4109,pass
SD_C_D0074,5.8757,fail_ddG
SD_C_D0072,-0.2972,pass
SD_C_D0073,2.1303,pass
SD_C_D0079,1.2823,pass
SD_C_D0077,0.9608,pass
SD_C_D0078,0.8649,pass
SD_C_D0082,2.1414,pass
SD_C_D0080,,error
SD_G_0009,3.9071,fail_ddG
SD_C_D0081,0.1864,pass
SD_C_D0084,2.8486,pass
SD_C_D0087,0.8716,pass
